timestamp,open,high,low,close,volume
2025-01-01T00:00:00+00:00,100.00,100.05,99.86,99.89,76.28
2025-01-01T01:00:00+00:00,99.89,100.83,99.32,100.54,17.82
2025-01-01T02:00:00+00:00,100.54,100.58,100.30,100.37,12.39
2025-01-01T03:00:00+00:00,100.37,101.59,99.96,101.45,59.04
2025-01-01T04:00:00+00:00,101.45,102.09,101.44,101.70,82.52
2025-01-01T05:00:00+00:00,101.70,101.79,101.38,101.64,23.99
2025-01-01T06:00:00+00:00,101.64,102.53,101.52,102.46,86.27
2025-01-01T07:00:00+00:00,102.46,103.15,102.13,102.72,75.68
2025-01-01T08:00:00+00:00,102.72,102.90,100.13,100.40,84.65
2025-01-01T09:00:00+00:00,100.40,101.67,100.00,101.23,61.96
2025-01-01T10:00:00+00:00,101.23,101.32,101.17,101.20,17.18
2025-01-01T11:00:00+00:00,101.20,102.00,101.06,101.98,35.02
2025-01-01T12:00:00+00:00,101.98,102.20,101.33,101.47,34.03
2025-01-01T13:00:00+00:00,101.47,102.37,101.30,101.97,64.82
2025-01-01T14:00:00+00:00,101.97,103.14,101.82,102.72,99.06
2025-01-01T15:00:00+00:00,102.72,103.77,102.42,103.53,71.62
2025-01-01T16:00:00+00:00,103.53,104.88,103.52,104.44,38.39
2025-01-01T17:00:00+00:00,104.44,104.76,104.24,104.73,94.86
2025-01-01T18:00:00+00:00,104.73,105.54,104.56,105.36,92.31
2025-01-01T19:00:00+00:00,105.36,105.58,104.61,104.67,32.20
2025-01-01T20:00:00+00:00,104.67,104.76,103.54,104.09,45.95
2025-01-01T21:00:00+00:00,104.09,104.29,102.17,103.19,55.86
2025-01-01T22:00:00+00:00,103.19,103.55,102.86,103.50,81.29
2025-01-01T23:00:00+00:00,103.50,104.47,103.45,104.38,44.35
2025-01-02T00:00:00+00:00,104.38,105.57,103.79,105.56,11.03
2025-01-02T01:00:00+00:00,105.56,105.64,104.87,105.32,58.33
2025-01-02T02:00:00+00:00,105.32,105.75,105.02,105.27,50.84
2025-01-02T03:00:00+00:00,105.27,106.56,105.09,105.97,33.71
2025-01-02T04:00:00+00:00,105.97,105.97,104.98,105.49,36.86
2025-01-02T05:00:00+00:00,105.49,105.76,104.32,104.63,23.76
2025-01-02T06:00:00+00:00,104.63,105.19,104.57,104.81,10.05
2025-01-02T07:00:00+00:00,104.81,104.84,103.77,103.82,93.62
2025-01-02T08:00:00+00:00,103.82,105.54,103.78,105.14,89.02
